a 啊
gbu 跟不上
gcl 搞错了
gcu 高才生
gdu 跟得上
gdz 鬼点子
gfl 搞反了
ghg 共和国
gji 公交车
gjj 公积金
gjz 关键字
gku 刚开始
gln 过两年
gly 管理员
gmx 革命性
grz 过日子
gtj 国土局
gtt 光秃秃
gwy 公务员
gxh 个性化
gxl 更新了
gxu 管闲事
gyb 过一遍
gyx 改一下
gzu 工作室
h 和
hn 湖南
hi 好处
hm 后面
hq 回去
hp 害怕
hb 何必
ht 后天
hbr 还不如
hdh 划等号
hdl 好多了
hdn 很多年
hdr 很多人
hej 华尔街
hez 华尔兹
hgr 回锅肉
hgu 花果山
hhb 还好吧
hky 还可以
hlk 海陆空
hlw 好莱坞
hnu 海南省
huj 后视镜
hul 黄鼠狼
hur 很少人
hvp 化妆品
hwg 和为贵
hwl 好无聊
hwq 核武器
hwx 红外线
hxl 候选栏
hyg 换一个
hys 好意思
i 出
ip 产品
iw 成为
ix 出现
it 传统
ib 成本
in 承诺
iq 重启
vm 重码
idk 吃得开
idl 吃多了
idu 成都市
idx 吃得下
ifq 吃饭去
ijl 成交量
ijv 持久战
inz 处女作
ivq 沉住气
ivw 称之为
iwj 储物间
iyb 创业板
iyl 差远了
izl 创造力
j 就
jj 解决
jg 结果
jt 今天
jc 精彩
jd 简单
je 金额
jh 几乎
jf 解放
jv 简直
ja 骄傲
js 计算
jz 节奏
jw 今晚
jo 奇偶
jbq 记不清
jbu 基本上
jdf 借贷方
jdh 接电话
jdq 经得起
jdv 景德镇
jdx 决定性
jfj 解放军
jgq 几个钱
jgu 井冈山
jgv 紧箍咒
jgx 金龟婿
jht 交换台
jhy 嫁祸于
jjb 精简版
jjf 加减法
jjs 晋级赛
jjv 紧接着
jqn 几千年
jqr 机器人
jqx 进取心
jrh 尖锐化
jtb 剪贴板
jvl 竞争力
jvy 就这样
jxy 仅限于
jyf 九月份
jyz 脚丫子
k 可
kn 可能
kt 开头
km 昆明
ki 开车
kb 恐怖
kp 恐怕
kq 况且
kbi 看不出
kbv 靠不住
kdd 看得懂
kdg 看得惯
kdi 看得出
kdj 肯德基
kdl 看到了
kdq 看得起
kdu 看电视
kdv 靠得住
kdy 看电影
kfq 开发区
kjj 快捷键
kjl 看见了
kuj 跨世纪
kuv 口水战
kyl 可以了
kzy 看走眼
l 了
lx 联系
lt 论坛
lj 了解
lf 浪费
lbb 冷冰冰
lbs 老不死
lbt 礼拜天
lbx 老百姓
ldf 老地方
ldg 老大哥
ldq 懒得去
ldr 两代人
lgd 老古董
lgg 老公公
lgj 老规矩
lhj 连环计
lhy 老花眼
lju 累计数
lkq 冷空气
lkz 两口子
llh 老龄化
llk 老两口
lll 狼来了
llq 浏览器
lmz 绿帽子
lpg 癞皮狗
lqn 六七年
lrj 老人家
lsh 络腮胡
lss 凉飕飕
ltg 立体感
ltw 立陶宛
ltz 烂摊子
lur 老实人
lxh 柳下惠
lxl 留下来
lyb 另一半
lyl 利用率
lyp 录音棚
lyq 路由器
lyw 另一位
lyy 来源于
lyz 老样子
lzh 老字号
m 没
my 没有
mq 目前
mx 明显
ml 美丽
mt 明天
mv 每周
ms 貌似
mr 默认
mbq 买不起
mbu 莫不是
mby 没必要
mdl 马德里
mgd 没搞懂
mgy 每个月
mgz 每个字
mhl 梅花鹿
mjg 没见过
mjh 每句话
mjt 没几天
mlg 买了个
mlq 买路钱
mlu 马铃薯
mmu 明明是
mmv 每秒钟
mmw 命名为
mmy 毛毛雨
mph 冒牌货
msk 马赛克
mtf 满天飞
mue 没事儿
mug 没事干
mvb 门诊部
mvd 明知道
mwt 没问题
myr 没有人
mzz 美滋滋
n 你
nl 努力
nx 那些
ny 那样
nd 难道
nz 脑子
npe 尼泊尔
nbh 弄不好
ncs 女厕所
ndu 那倒是
ngr 那个人
nhz 女孩子
njd 能见度
njg 哪几个
njy 诺基亚
nlv 奴隶制
nmx 匿名信
nnq 娘娘腔
nnz 努努嘴
npy 女朋友
nqr 年轻人
nrw 女人味
nwq 难为情
nxh 女性化
nyj 农业局
nyx 弄一下
nyy 暖洋洋
o 哦
ov 欧洲
oe 偶尔
of 偶发
or 偶然
ox 偶像
oy 欧阳
ot 呕吐
p 平
px 培训
pt 平台
pv 配置
pl 漂亮
pq 脾气
ps 配送
pe 普洱
pr 骗人
py 拼音
pbd 跑不掉
pbu 配不上
pbx 普遍性
pfi 剖腹产
pfz 票贩子
pmp 拍马屁
pmq 贫民区
ppz 撇撇嘴
pul 盘山路
pyx 皮影戏
q 去
qv 其中
qd 确定
qj 期间
qf 缺乏
qc 其次
qw 千万
qz 亲自
qg 奇怪
qe 全额
qh 切换
qo 群殴
qbq 瞧不起
qbu 岂不是
qbz 翘辫子
qgy 气管炎
qlx 前列腺
qnl 去哪了
qpv 强迫症
qti 钱塘潮
qun 青少年
qvy 求知欲
qxj 气象局
qxy 倾向于
qyh 区域化
qyj 企业家
qyx 区域性
qyy 起源于
r 人
rq 日期
rw 认为
rb 日本
rx 热线
rv 认真
rm 人们
ry 容易
rl 人类
rk 认可
ra 热爱
rt 认同
rn 热闹
rp 人品
rd 认得
rdd 肉嘟嘟
rfz 人贩子
rhr 任何人
rqv 人情债
rug 人生观
ruq 热水器
rvy 热衷于
s 三
um 什么
sy 所以
sx 思想
sk 思考
sw 所谓
sh 似乎
sb 随便
sq 索取
sl 算了
sp 索赔
sn 随你
st 洒脱
sfm 三方面
sgr 三个人
sgv 三个钟
sgy 三个月
sgz 三个字
sjd 三季度
sjx 三角形
snj 三年级
srx 三人行
ssj 耸耸肩
ssn 三四年
sun 三十年
svy 馊主意
sxj 三星级
t 他
tb 特别
tl 讨论
ty 统一
tw 台湾
tx 同学
tq 天气
tt 天天
tf 头发
tdq 提得起
tdu 谈得上
tjj 统计局
tkl 太快了
tkq 叹口气
tlt 舔了舔
tmb 挑毛病
tmv 投名状
tpq 踢皮球
trj 唐人街
tsg 替死鬼
tux 特殊性
tvj 天主教
tvl 偷着乐
tvm 同志们
tvv 统治者
txy 同心圆
tyb 退一步
tyc 头一次
tyx 通用性
tzv 投资者
tzy 替罪羊
u 是
ud 收到
ux 首先
uq 事情
ut 身体
um 上面
ub 顺便
up 双拼
us 神似
ubj 社保局
ubu 是不是
ubz 上辈子
ucj 收藏夹
udl 收到了
udz 书呆子
ufe 顺风耳
ufj 煞风景
uhu 上海市
uju 实际上
ujx 上进心
ulh 省略号
ulj 睡懒觉
ulu 试了试
upz 生僻字
uqu 手牵手
urh 说人话
uss 十三岁
usv 生死战
uup 少数派
uuq 上上签
uvd 谁知道
uvf 市政府
uvq 水蒸气
uvx 实质性
uwv 生物钟
uxb 上下班
uxj 摄像机
uxt 摄像头
uyc 上一次
uyq 试用期
uyr 涮羊肉
uyu 试一试
uyy 适用于
uzy 受阻于
v 这
vy 这样
vd 知道
vw 掌握
vb 准备
vn 只能
vq 正确
vm 这么
vt 折腾
vp 只怕
vby 止步于
vdj 战斗机
vdl 知道了
vgr 这个人
vhu 这回事
vln 中老年
vlu 蒸馏水
vly 致力于
vmk 这么快
vml 这么懒
vqg 支气管
vqx 准确性
vsy 之所以
vub 正式版
vux 真实性
vwr 债务人
vxh 真心话
vxq 中心区
vxr 这些人
vxz 这下子
vyh 这一回
vyn 这一年
vyu 主要是
vyv 志愿者
vyx 重要性
w 我
wm 我们
wt 问题
wi 完成
wl 为了
wq 完全
wz 文字
wx 无线
wy 唯一
wr 微软
wc 为此
wn 无奈
wv 为止
wb 五笔
wk 唯恐
wp 网盘
ws 猥琐
wbw 玩不玩
wdl 完蛋了
wdx 稳定性
wfv 五分钟
whf 未婚夫
whq 未婚妻
wht 万花筒
wid 胃肠道
wjj 文件夹
wjm 文件名
wjz 伪君子
wmv 无名指
wsw 无所谓
wvy 无助于
wwl 玩完了
x 小
xz 现在
xy 需要
xw 希望
xh 喜欢
xa 西安
xd 相当
xg 习惯
xf 相反
xj 现金
xv 下周
xc 下次
xo 西欧
xe 险恶
xbf 西北风
xbi 想不出
xbn 下半年
xbq 想不起
xbt 想不通
xbv 闲不住
xbz 下辈子
xdi 想当初
xdj 洗涤剂
xfu 洗发水
xgf 闲工夫
xgu 习惯上
xhu 西红柿
xhy 歇后语
xhz 小孩子
xiq 吸尘器
xjb 性价比
xjh 小家伙
xjl 下结论
xjx 戏剧性
xmh 瞎忙活
xtj 下台阶
xtl 想通了
xtq 小提琴
xvf 县政府
xvq 行政区
xvt 瞎折腾
xvw 下周五
xxg 新鲜感
xxl 想象力
xxx 笑嘻嘻
xyj 洗衣机
xyl 吸引力
xyn 下一年
xyr 吸引人
xyu 下意识
xyx 想一想
y 一
yq 要求
yd 一定
yw 因为
yg 应该
yv 一直
yx 一下
yn 云南
yl 原来
yp 一片
yf 缘分
ym 郁闷
ybh 也不会
ybr 要不然
ybz 一辈子
yda 印第安
ydd 一点点
ydh 运动会
ydr 有的人
ydv 用得着
yez 幺蛾子
yge 压根儿
ygj 一个劲
ygl 英格兰
yht 雨花台
yhu 一回事
yhv 与会者
ykq 一口气
ykv 眼看着
ylj 一两句
yls 一两岁
ylw 阎罗王
ylx 依赖性
yly 越来越
ymj 牙买加
yqn 一千年
yqy 有求于
ysq 压岁钱
ysu 也算是
yte 英特尔
yuj 右上角
yvu 一只手
yvr 意中人
yvv 眼睁睁
yvx 一致性
yvy 有助于
ywb 英文版
ywf 一窝蜂
yxh 有些话
yxq 有效期
yxr 有些人
yyf 一月份
yyj 有意见
yyx 优越性
z 在
zx 在线
zj 自己
zp 作品
zr 自然
zm 怎么
zy 怎样
zt 昨天
zl 走了
zq 暂且
zn 怎能
zb 咋不
zk 最快
zbz 在不在
zdh 自动化
zdy 自定义
zgz 自顾自
zhd 最好的
ziq 走出去
zjl 总经理
zjx 总结性
zly 坐落于
zrx 责任心
zuj 左上角
zvd 早知道
zvl 自制力
zxq 走下去
zyu 左右手
zyw 自以为
zzx 自尊心
aj 按键
bj 背景
cj 参加
cq 从前
dd 达到
dn 电脑
ds 打算
dv 等着
fb 分别
fv 分钟
fh 反悔
fj 附件
fs 发送
fz 否则
gg 刚刚
gj 感觉
gs 公司
gx 更新
gz 规则
gv 跟着
hf 回复
id 程度
ii 尝尝
jb 基本
jd 绝对
jg 尽管
jj 渐渐
jk 即可
jl 举例
jq 极其
jr 假如
ju 即使
jv 极致
jw 极为
kn 困难
lb 两边
lj 链接
mm 慢慢
mq 面前
mt 每天
qk 情况
qm 前面
qq 恰恰
qu 歧视
qr 确认
rr 仍然
rw 任务
sd 速度
sr 虽然
ss 搜索
sv 随着
td 推导
tg 推广
tj 推荐
tt 淘汰
tz 投资
uf 束缚
uh 伤害
uj 世纪
uu 试试
uw 食物
vc 这次
vd 直到
vf 征服
vh 只会
vi 支持
vj 整句
vq 追求
vu 只是
vv 真正
vx 这些
vy 主意
vz 正在
vw 周围
wd 味道
wm 完美
wv 未知
wx 微信
xg 修改
xm 下面
xu 小时
xv 修正
xx 学习
xz 选择
yb 一边
yq 与其
yv 意志
yx 悠闲
zs 总算
zw 座位
zg 总共
zv 最终
bdh 北戴河
bdm 帮倒忙
bfv 百分之
bhj 白胡椒
bip 半成品
bjb 笔记本
bkq 不客气
bmg 闭门羹
bmx 保密性
bmy 不满意
buf 不舒服
ddu 大多数
dhj 打火机
dhx 导火线
djd 打交道
djy 都江堰
duj 电视剧
dyh 单引号
fux 放射性
fwq 服务器
gjy 关节炎
gxq 感兴趣
gzu 刽子手
hgx 回归线
hjl 含金量
hjz 花架子
ifd 出发点
jbg 基本功
jbn 几百年
jbv 记不住
jij 警察局
jku 教科书
jnd 加拿大
jns 吉尼斯
jpv 柬埔寨
jtx 警惕性
jub 记事本
jxx 局限性
jyw 局域网
kud 跨时代
lbd 轮不到
lib 里程碑
ljf 龙卷风
ljh 两句话
lnr 老年人
lvu 两只手
lwt 老顽童
lyf 六月份
lyy 懒洋洋
qkl 巧克力
qkx 情况下
qly 千里眼
qmv 敲门砖
qpx 起跑线
qrj 情人节
ufl 说服力
ujv 石家庄
uly 势利眼
uud 摄氏度
uvf 省政府
uvy 受制于
vfb 支付宝
vfx 正方形
vir 主持人
vxz 直性子
wuj 卫生间
wwh 无外乎
xbd 想不到
xbx 行不行
xlx 想了想
xly 叙利亚
xmw 下马威
xmy 小蛮腰
xtx 先天性
xuj 洗手间
xux 学术性
xyj 西游记
xys 小意思
ybu 又不是
ycx 一次性
yhh 晕乎乎
yjh 一句话
yjx 郁金香
yux 艺术性
yvy 以致于
zym 座右铭
syf 三月份
tul 太少了
ugy 上个月
ujs 十几岁
vgy 这个月
www 呜呜呜
xxy 小心眼
y 又
a 按
b 吧
c 此
d 打
n 嗯
f 非
g 管
h 化
i 初
j 见
k 块
l 立
m 嘛
n 哪
p 屁
q 期
r 入
s 随
t 它
u 时
v 之
w 位
x 性
z 子
aba 爱不爱
abg 熬不过
abj 矮半截
abl 阿波罗
abv 熬不住
acl 按错了
ade 安道尔
aef 阿尔法
ael 爱尔兰
afh 阿富汗
aft 阿凡提
agl 安哥拉
agt 阿根廷
agv 爱国者
ahu 安徽省
ail 按常理
ajl 安静了
ajs 氨基酸
alb 阿拉伯
ald 阿拉丁
alh 安理会
alq 阿联酋
als 安乐死
alu 按理说
alw 安乐窝
amy 安眠药
amz 爱面子
aqg 安全感
aqh 爱琴海
aqj 安全局
aqp 爱情片
aqx 安全性
ask 奥斯卡
asl 奥斯陆
atj 凹透镜
atu 安徒生
aum 阿诗玛
auu 爱谁谁
avb 安装版
awh 奥委会
ayh 奥运会
ayw 哎呦喂
azb 艾滋病
bbh 并不会
bbi 办不成
bbk 不包括
bbn 并不能
bbq 北半球
bbt 棒棒糖
bbu 并不是
bbv 八宝粥
bbx 并不想
bby 不必要
bbz 半辈子
bdi 不动产
bdl 不得了
bds 不打算
bdv 别当真
beg 巴尔干
bfh 百分号
bfu 比方说
bfz 不负责
bgd 不敢当
bgm 帮个忙
bgv 半个钟
bgy 半个月
bhb 不会吧
bhg 不合格
bhh 白花花
bhq 不回去
bjn 比基尼
bkl 不考虑
bkn 不可能
bkx 不开心
blb 玻璃杯
blc 不理睬
bld 便利店
blf 别浪费
blg 板蓝根
blh 博览会
bli 碧螺春
blj 不了解
blk 不离开
bll 不聊了
blm 爆冷门
blp 舶来品
blq 保龄球
bls 不利索
blt 柏拉图
blv 避雷针
blx 不理想
bly 不利于
bmn 本命年
bnf 不耐烦
bnl 别闹了
bph 不平衡
bby 不便宜
bqd 不确定
bqg 不奇怪
bqi 不清楚
bqj 白切鸡
bql 冰淇淋
bqr 不求人
bqt 包青天
brd 不认得
brm 白日梦
brn 不然呢
brq 哺乳期
bru 不认识
bry 不容易
bsl 变色龙
bsu 不算数
bsw 波斯湾
bsx 不死心
btd 不太懂
bte 白天鹅
btf 白头发
btg 不太敢
bth 不太好
bti 不提倡
btj 不推荐
btm 半透明
btt 扁桃体
btu 半桶水
btw 别太晚
bty 不同意
bub 不是吧
bui 办事处
bvd 不知道
bvf 辩证法
bvi 不支持
bvj 不着急
bvm 不知名
bvq 不值钱
bvr 班主任
bvt 不折腾
bvu 不只是
bvv 标志着
bvx 标志性
bwd 不稳定
bxd 不晓得
bxf 不相符
bxg 不习惯
bxh 不喜欢
bxi 别瞎扯
bxj 步行街
bxk 必修课
bxl 不行了
bxm 不行吗
bxn 不像你
bxp 必需品
bxq 保修期
bxw 不希望
bxy 不需要
byb 不一般
byd 不一定
byf 八月份
byg 不应该
byj 不要紧
byl 不用了
byn 比翼鸟
byq 变压器
byu 不要说
byv 不一致
byw 本以为
byz 布依族
bzh 不在乎
bzi 不赞成
bzj 不在家
bzl 不早了
bzm 不怎么
bzq 不足取
bzr 不自然
bzu 不早说
bzw 不作为
bzx 不在线
bzz 不自在
cbc 从不曾
cbd 猜不到
cbh 才不会
cbl 错不了
cbq 擦边球
cbu 才不是
cbv 藏不住
cbz 错别字
ccc 噌噌噌
cch 擦擦汗
ccp 残次品
cdl 猜到了
cgj 踩过界
cgl 错过了
chj 催化剂
ckn 才可能
cku 才开始
clb 从来不
clc 擦了擦
cld 催泪弹
clx 策略性
cmm 藏猫猫
cmq 催眠曲
cmr 聪明人
cmy 从没有
cng 才能够
cpg 擦屁股
cql 藏起来
crn 凑热闹
ctz 醋坛子
cvj 财政局
cwh 村委会
cwl 错误率
cxf 磁悬浮
cxy 才需要
cyb 搓衣板
cyc 猜一猜
cyd 参与度
cym 曾用名
czg 存在感
czt 操作台
dbd 对不对
dbf 大部分
dbg 打不过
dbh 都不会
dbj 等不及
dbk 打不开
dbl 大不了
dbm 道不明
dbn 都不能
dbq 对不起
dbr 倒不如
dbu 倒不是
dbv 对不住
dbx 代表性
dby 大本营
dbz 带不走
ddp 电灯泡
ddq 对得起
deb 第二遍
dec 第二次
deg 第二个
dem 第二名
den 第二年
deq 大而全
dfb 电饭煲
dfd 大幅度
dfg 电饭锅
dfh 东方红
dfm 单方面
dfn 豆腐脑
dfr 豆腐乳
dfv 豆腐渣
dfw 大范围
dfx 地方性
dfy 丹凤眼
dgf 大锅饭
dgg 顶呱呱
dgi 胆固醇
dgm 大规模
dgq 打过去
dhg 读后感
dhh 打哈哈
dhs 导火索
dih 倒春寒
dlb 得了吧
dlc 大老粗
dld 多伦多
dlg 第六感
dlh 度量衡
dlj 邓丽君
dll 带来了
dlm 对立面
dlq 多了去
dlr 代理人
dlt 大冷天
dlu 大理石
dlv 顶梁柱
dlx 独立性
dly 大老远
dlz 掉链子
dmq 独木桥
dnh 多年后
dpm 大屏幕
dpw 肚皮舞
dpx 地平线
dqc 大气层
dqh 电气化
dql 打起来
dqs 道琼斯
dqv 当权者
dqy 大气压
dqz 兜圈子
dri 单人床
dsg 第三个
dsn 第三年
dte 呆头鹅
dth 洞庭湖
dtq 大提琴
dtt 断头台
dtu 大体上
dtv 打头阵
dtx 独特性
dty 等同于
dvd 都知道
dvg 对着干
dvq 等着瞧
dwj 端午节
dwk 吊胃口
dwl 都忘了
dww 大无畏
dwy 动物园
dxb 大小便
dxd 单行道
dxe 店小二
dxf 东西方
dxg 胆小鬼
dxh 都喜欢
dxi 大学城
dxj 大小姐
dxl 掉下来
dxm 大熊猫
dxs 单相思
dxt 低血糖
dxu 大学生
dxw 定心丸
dxx 大小写
dxy 大西洋
dxz 东乡族
dyb 第一遍
dyc 第一次
dyf 独一份
dyg 第一个
dyi 打圆场
dyl 等于零
dym 第一名
dyn 第一年
dyr 代言人
dzq 打砸抢
dzw 都在玩
ebe 饿不饿
ebf 耳边风
ebh 而不会
ebl 饿扁了
ebn 而不能
ebq 而不去
ebs 饿不死
ebu 而不是
ebw 二百五
eby 而不用
ecy 二次元
edj 二等奖
edz 饿肚子
epg 阿房宫
ege 恩格尔
egt 二锅头
ehh 恶狠狠
ehy 二合一
eiu 二传手
ejd 二季度
ejv 二进制
els 俄罗斯
elt 二郎腿
elu 鹅卵石
elz 二流子
emu 峨眉山
enj 二年级
epf 耳旁风
esl 饿死了
esu 二三十
etj 儿童节
eub 二十八
eud 二十多
eue 二十二
euj 二十九
eul 二十六
eun 二十年
euq 二十七
eus 二十四
euw 二十五
euy 二十一
euz 二傻子
evi 二指禅
ewm 二维码
exy 二选一
eyf 二月份
ezj 恶作剧
fbf 烦不烦
fbi 发不出
fbl 分辨率
fbq 分不清
fbu 分别是
fbv 犯不着
fbx 放不下
fby 翻白眼
fcl 发错了
fdd 肥嘟嘟
fdg 梵蒂冈
fdi 房地产
fdm 防盗门
fdp 反对派
fdu 反倒是
fdx 放得下
fdy 辅导员
fed 富二代
fes 凡尔赛
fgl 反过来
fhq 防火墙
fib 非常棒
fid 非常多
fif 肥肠粉
fig 非常高
fih 非常好
fii 非常差
fij 放长假
fik 非常快
fil 非常冷
fim 非常慢
fin 非常难
fiq 非常强
fir 非常热
fiu 方程式
fiv 房产证
fvx 放长线
fkd 防空洞
fkp 放空炮
fkz 方块字
fla 氟利昂
flb 菲律宾
flf 福利费
flh 风凉话
fli 分理处
fll 法拉利
flp 飞利浦
flq 费力气
fls 发牢骚
flw 法令纹
flx 法兰西
fly 福利院
flz 负离子
fml 发霉了
fmm 敷面膜
fmp 非卖品
fmq 父母亲
fmt 飞毛腿
fmw 分泌物
fmy 驸马爷
fnj 妇女节
fnl 发你了
fpl 废品率
fpq 发脾气
fqd 夫妻店
fqh 凤求凰
fqj 番茄酱
fql 放弃了
fqv 肺气肿
frd 副热带
frj 缝纫机
fsl 烦死了
fsr 烦死人
fss 风嗖嗖
fsx 发散性
ftj 反贪局
ftz 繁体字
fvf 反政府
fvh 法制化
fvl 非主流
fvm 辅助码
fvv 发展中
fvx 辅助性
fvy 分之一
fwi 俯卧撑
fxb 风向标
fxd 发祥地
fxg 方向感
fxj 抚恤金
fxl 发现了
fxp 方向盘
fxs 法西斯
fxu 烦心事
fxx 方向性
fxy 飞行员
fyc 反义词
fyd 发源地
fyg 发一个
fyj 复印件
fyl 反映了
fyq 发言权
fyr 发言人
fyx 防御性
fzg 负罪感
fzx 复杂性
fzy 副作用
gaj 公安局
gat 港澳台
gbb 干巴巴
gbd 怪不得
gbg 够不够
gbh 搞不好
gbi 高不成
gbj 赶不及
gbl 管不了
gbn 更不能
gbq 过不去
gbt 搞半天
gbv 管不着
gbx 鬼把戏
gby 个把月
gby 过把瘾
gbz 光膀子
gdq 过得去
gfh 规范化
gfq 高峰期
gfx 规范性
gid 共产党
gij 歌唱家
gil 观察力
giq 滚出去
giu 工程师
giv 过程中
giw 广场舞
gkj 高科技
gks 公开赛
gkx 公开信
gll 孤零零
glr 过来人
glt 过两天
gmd 国民党
gme 哥们儿
gmg 鬼门关
gml 根目录
gmq 冠名权
gmv 擀面杖
gnd 高难度
gnn 姑奶奶
gnq 更年期
gnw 国内外
gnx 功能性
gpg 狗皮膏
gpi 跟屁虫
gpx 公平性
gqd 过去的
gqi 搞清楚
gqj 国庆节
gql 过去了
gqm 鬼敲门
gqt 共青团
gqu 过去时
gqx 高清晰
gtb 改天吧
gtc 感叹词
gtd 共同点
gtf 刮台风
gth 感叹号
gti 共同处
gtl 改天聊
gtn 管他呢
gts 古铜色
gtz 狗腿子
gwb 公文包
gwi 购物车
gwu 个位数
gxy 高血压
gyd 过一段
gyg 高压锅
gyj 冠亚军
gyp 工艺品
gyq 公元前
gyv 过一阵
gyy 归因于
hax 海岸线
hpb 汉堡包
hbc 还不错
hbd 恨不得
hbf 好办法
hbg 还不够
hbh 会不会
hbj 环保局
hbk 还不快
hbl 花不了
hbn 还不能
hbq 回不去
hbt 好半天
hbu 还不是
hbv 还不止
hbw 花不完
hbx 还不行
hby 后半夜
hdc 好多次
heb 哈尔滨
hfl 恢复了
hgd 花骨朵
hgh 回个话
hgl 花光了
hgq 昏过去
hgt 回过头
hgv 合格证
hhf 何海峰
hhh 哈哈哈
hhj 黑胡椒
hhr 合伙人
hhu 好好说
hhy 后悔药
hhz 好孩子
hid 好吃的
hif 好处费
hih 护城河
hii 昏沉沉
hij 回车键
hiu 候车室
hiv 火车站
hjn 好几年
hjt 好几天
hkb 户口本
hkj 黑科技
hlg 火龙果
hlm 红楼梦
hlp 黄脸婆
hmb 坏毛病
hmc 花名册
hmd 黑名单
hmf 很麻烦
hmg 哈密瓜
hmm 灰蒙蒙
hmq 回马枪
hms 红霉素
hmx 很明显
hmy 鸿门宴
hnd 海南岛
hnj 回娘家
hnl 活腻了
hnt 混凝土
hnw 海内外
hnz 哈尼族
hpg 和平鸽
hpj 黄浦江
hpl 很漂亮
hpm 海平面
hpp 红扑扑
hpy 好朋友
hqd 何其多
hqg 很奇怪
hqi 很清楚
hql 回去了
hqq 黑漆漆
hqt 核潜艇
hqu 换气扇
hqx 好奇心
htc 回头草
hte 黑天鹅
htg 猴头菇
hth 皇太后
hti 糊涂虫
htj 回头见
htk 回头客
htl 回头率
htr 核桃仁
htt 红彤彤
htu 火头上
htw 横条纹
htz 皇太子
hwj 好望角
hwn 哈瓦那
hwy 画外音
hxb 还行吧
hxi 候选窗
hyb 很一般
hyf 会议费
hyh 缓一缓
hyl 回忆录
hyq 黑眼圈
hyv 后遗症
hzh 洪泽湖
ibb 吃不饱
ibd 差不多
ibf 吃白饭
ibg 吃不惯
ibi 吃不吃
ibk 吃不开
ibl 吃饱了
ibq 出不去
ibu 出版社
ibv 撑不住
ibx 吃不下
icy 吃错药
idd 沉甸甸
idq 充电器
ifl 吃饭了
igs 车管所
ihh 茶话会
iiq 传出去
ijg 成就感
ijt 长镜头
ikb 触控板
vkg 长宽高
ikq 喘口气
ikt 创可贴
ilf 差旅费
ili 查了查
ill 赤裸裸
ilp 处理品
ilq 处理器
ilv 车轮战
imd 崇明岛
vmm 重命名
imp 触摸屏
imu 触摸式
imv 充满着
imy 沉迷于
